student_id,exam_date,subject,marks
129,2022-11,Computers,91
130,2022-09,Chemistry,77
131,2021-10,English,44
132,2020-10,Computers,93
133,2020-08,Maths,62
134,2020-05,Physics,45
135,2022-02,Accounts,85
136,2020-02,Computers,56
137,2022-08,English,83
138,2021-03,Computers,44
139,2022-09,Physics,55
140,2021-09,Chemistry,64
141,2022-02,Accounts,65
142,2022-08,Accounts,68
143,2021-06,English,40
144,2020-02,English,44
145,2021-05,Physics,80
146,2021-04,Physics,83
147,2020-08,English,74
148,2022-10,English,81
149,2022-08,Computers,73
150,2022-11,Computers,58
151,2022-08,English,81
152,2020-05,Accounts,91
153,2020-12,English,43
154,2022-12,Maths,90
155,2022-06,Accounts,58
156,2021-05,Computers,68
157,2020-07,Maths,78
158,2020-03,Chemistry,49
159,2022-09,Chemistry,58
160,2022-07,Maths,57
161,2021-05,Physics,88
162,2021-03,Computers,65
163,2020-03,Chemistry,62
164,2022-06,Computers,87
165,2020-09,Chemistry,62
166,2022-11,Chemistry,78
167,2022-08,Maths,42
168,2022-07,Chemistry,72
169,2022-11,Maths,52
170,2020-08,Physics,84
171,2020-06,Physics,84
172,2021-03,English,41
173,2021-05,Maths,78
174,2022-01,Chemistry,99
175,2020-12,Physics,42
176,2021-01,English,95
177,2021-12,English,67
178,2022-11,English,85
179,2022-05,Physics,77
180,2020-02,Maths,59
181,2020-12,Chemistry,91
182,2021-12,Maths,53
183,2021-07,Accounts,47
184,2020-05,Maths,73
185,2020-10,Accounts,79
186,2020-02,Physics,47
187,2021-03,Accounts,73
188,2022-12,Maths,96
189,2020-12,Chemistry,58
190,2022-03,Maths,57
191,2022-08,Computers,90
192,2022-07,Physics,98
193,2020-02,Physics,74
194,2020-05,Computers,66
195,2021-08,Physics,63
196,2020-11,Chemistry,87
197,2020-07,Maths,75
198,2021-04,Chemistry,53
199,2022-07,Chemistry,53
200,2022-09,English,40
201,2021-09,Physics,49
202,2020-06,Maths,87
203,2022-08,Accounts,43
204,2022-10,Maths,97
205,2020-02,English,45
206,2020-11,Computers,74
207,2022-08,Physics,80
208,2021-12,Chemistry,51
209,2020-05,Accounts,49
210,2022-01,English,82
211,2022-10,Maths,73
212,2022-02,Physics,62
213,2021-02,Physics,81
214,2021-06,Computers,83
215,2020-01,Computers,88
216,2022-04,Chemistry,92
217,2021-02,Physics,66
218,2020-09,English,56
219,2020-02,Computers,72
220,2020-05,Maths,45
221,2021-10,English,78
222,2022-09,Computers,58
223,2022-11,Chemistry,46
224,2021-08,Chemistry,66
225,2020-06,Accounts,98
226,2021-08,Physics,83
227,2020-03,English,52
228,2021-09,English,52
229,2022-07,Physics,46
230,2022-05,Physics,49
231,2022-08,Computers,94
232,2022-12,Maths,50
233,2021-03,Accounts,57
234,2022-07,Maths,72
235,2020-01,Accounts,45
236,2021-10,Computers,71
237,2022-06,Computers,97
238,2021-08,Chemistry,88
239,2022-12,English,56
240,2022-01,Maths,79
241,2021-08,Computers,88
242,2020-10,English,73
243,2021-01,Computers,87
244,2020-10,Computers,89
245,2022-10,Maths,75
246,2020-08,Accounts,42
247,2020-02,Chemistry,75
248,2022-10,Accounts,43
249,2020-08,Maths,85
250,2020-06,Chemistry,61
251,2020-10,English,53
252,2022-03,Maths,76
253,2020-01,Maths,68
254,2021-02,English,83
255,2021-02,Physics,87
256,2022-01,English,90
257,2021-12,Physics,51
258,2020-01,Maths,79
259,2022-11,English,47
260,2020-09,Computers,80
261,2021-05,Physics,59
262,2020-06,Maths,63
263,2021-07,Accounts,73
264,2021-03,English,60
265,2020-11,Computers,78
266,2021-06,Physics,42
267,2020-06,Physics,65
268,2020-02,English,78
269,2020-07,Physics,98
270,2022-04,Physics,99
271,2021-08,Maths,73
272,2021-12,Accounts,86
273,2022-03,Accounts,40
274,2020-09,Physics,64
275,2021-09,Computers,43
276,2022-03,English,78
277,2022-04,Physics,57
278,2021-10,Physics,88
279,2020-09,Computers,64
280,2022-05,Chemistry,77
281,2022-10,Physics,93
282,2020-03,Maths,88
283,2020-06,Chemistry,91
284,2021-07,Physics,65
285,2020-10,Physics,73
286,2021-12,Physics,72
287,2021-04,English,48
288,2020-02,Physics,48
289,2021-09,Maths,48
290,2021-02,Accounts,46
291,2021-01,Computers,52
292,2021-10,Accounts,91
293,2022-04,Accounts,60
294,2022-02,Chemistry,55
295,2021-04,Physics,66
296,2021-01,English,94
297,2020-06,English,92
298,2022-09,Accounts,45
299,2021-02,Computers,55
300,2022-01,Physics,47
301,2020-04,English,48
302,2022-05,Computers,90
303,2020-10,Computers,61
304,2021-09,Accounts,64
305,2021-01,Maths,90
306,2022-07,Physics,90
307,2022-07,Physics,86
308,2020-12,English,61
309,2022-03,English,95
310,2022-05,Computers,87
311,2022-08,English,80
312,2022-04,Accounts,51
313,2020-10,Maths,58
314,2020-01,Computers,70
315,2020-04,Chemistry,86
316,2022-08,English,44
317,2021-05,Accounts,94
318,2020-09,Computers,57
319,2022-01,Chemistry,47
320,2021-09,Maths,65
321,2022-07,English,54
322,2022-03,Accounts,63
323,2021-04,Physics,44
324,2020-06,Accounts,79
325,2020-01,English,75
326,2020-07,English,95
327,2022-08,English,94
328,2020-01,English,52
329,2020-05,Physics,49
330,2020-07,Chemistry,81
331,2021-01,Computers,65
332,2020-11,Accounts,96
333,2020-01,Chemistry,74
334,2020-08,English,99
335,2022-03,Chemistry,90
336,2021-05,Accounts,85
337,2022-07,Accounts,58
338,2021-12,Computers,92
339,2021-01,Accounts,45
340,2022-03,Chemistry,98
341,2020-07,Physics,64
342,2020-03,Computers,77
343,2020-03,Maths,69
344,2020-10,English,48
345,2022-12,Chemistry,71
346,2020-10,Chemistry,72
347,2022-06,English,96
348,2020-07,Accounts,64
349,2022-04,English,57
350,2021-10,Computers,68
351,2020-12,English,51
352,2021-07,Chemistry,57
353,2022-11,Maths,77
354,2020-09,Chemistry,88
355,2020-05,Maths,68
356,2022-05,Maths,41
357,2020-07,English,98
358,2022-05,Maths,98
359,2022-03,Maths,46
360,2020-01,Maths,53
361,2021-10,Maths,46
362,2020-10,Physics,90
363,2020-02,Chemistry,70
364,2021-08,Accounts,70
365,2020-01,Physics,89
366,2021-04,Accounts,97
367,2022-11,Accounts,97
368,2020-03,English,58
369,2022-10,Maths,81
370,2020-10,Maths,97
371,2022-10,Chemistry,73
372,2020-05,Accounts,54
373,2021-07,Physics,41
374,2020-01,English,44
375,2022-12,Physics,45
376,2020-01,Accounts,93
377,2022-11,English,96
378,2020-05,Physics,81
379,2022-04,Chemistry,75
380,2022-04,English,40
381,2020-05,Accounts,76
382,2022-04,Maths,62
383,2020-04,English,44
384,2022-09,Computers,91
385,2022-01,Physics,79
386,2021-05,Accounts,97
387,2022-03,Chemistry,72
388,2021-11,English,97
389,2021-06,Physics,52
390,2022-05,Accounts,44
391,2021-05,Physics,91
392,2020-07,Computers,44
393,2020-02,Computers,57
394,2022-09,Accounts,78
395,2022-01,Physics,58
396,2021-02,Chemistry,92
397,2022-09,Accounts,44
398,2020-02,Computers,43
399,2021-08,Accounts,98
400,2020-06,Physics,78
401,2022-07,Accounts,86
402,2020-04,Computers,50
403,2021-08,Chemistry,61
404,2020-04,Maths,45
405,2020-09,Accounts,66
406,2022-11,Physics,73
407,2020-10,Computers,70
408,2021-06,English,54
409,2020-11,Maths,98
410,2021-12,English,76
411,2020-04,Chemistry,98
412,2021-03,Physics,92
413,2021-04,Chemistry,84
414,2022-10,Physics,88
415,2022-04,Computers,48
416,2021-03,Chemistry,76
417,2022-09,Maths,82
418,2021-08,Physics,65
419,2022-08,Physics,46
420,2021-05,Maths,60
421,2020-03,English,97
422,2020-11,Maths,99
423,2021-08,Physics,48
424,2022-01,Chemistry,68
425,2021-06,Chemistry,42
426,2021-11,Maths,49
427,2022-12,English,61
428,2022-12,English,72
429,2020-04,Computers,83
430,2022-08,Physics,62
431,2022-08,Accounts,84
432,2020-07,Physics,93
433,2022-08,Chemistry,45
434,2021-01,Accounts,61
435,2020-03,Accounts,88
436,2020-12,Accounts,40
437,2022-03,Maths,75
438,2020-08,English,79
439,2020-01,Physics,84
440,2022-05,English,72
441,2022-01,Chemistry,98
442,2022-11,Computers,61
443,2020-10,Physics,70
444,2020-02,Computers,83
445,2020-03,English,85
446,2022-02,Physics,55
447,2020-01,Chemistry,62
448,2020-06,Maths,97
449,2021-12,Chemistry,43
450,2022-10,Chemistry,96
451,2021-10,Computers,69
452,2021-06,Physics,88
453,2021-06,English,45
454,2020-01,English,63
455,2022-09,Accounts,75
456,2021-03,English,91
457,2021-11,Physics,98
458,2020-02,Physics,47
459,2020-01,Maths,99
460,2020-03,English,47
461,2022-11,Maths,53
462,2021-01,Computers,83
463,2021-01,English,44
464,2021-10,Chemistry,86
465,2021-01,Maths,55
466,2021-09,Accounts,49
467,2020-02,Physics,49
468,2021-01,English,54
469,2020-01,English,62
470,2020-12,Chemistry,96
471,2021-11,Maths,82
472,2021-04,Physics,92
473,2020-12,English,65
474,2020-08,Maths,53
475,2022-06,Maths,86
476,2020-08,Computers,68
477,2022-04,Physics,94
478,2020-07,Maths,96
479,2022-06,Physics,55
480,2022-07,Physics,95
481,2020-07,Physics,76
482,2021-11,English,61
483,2021-06,Physics,55
484,2020-08,Physics,90
485,2020-09,Maths,53
486,2021-12,Computers,58
487,2020-07,Maths,44
488,2022-12,Maths,98
489,2021-04,Physics,68
490,2022-01,Physics,56
491,2021-08,English,74
492,2020-02,Computers,74
493,2021-06,Accounts,85
494,2022-07,Chemistry,82
495,2021-06,Computers,47
496,2021-09,Chemistry,47
497,2022-10,Accounts,74
498,2020-06,Accounts,91
499,2021-07,Computers,87
500,2022-05,Chemistry,76
1,2020-09,Chemistry,91
2,2020-09,Maths,42
3,2020-02,Accounts,44
4,2022-12,Chemistry,70
5,2022-05,Accounts,54
6,2022-12,Accounts,41
7,2022-06,English,78
8,2021-10,Chemistry,45
9,2020-11,Maths,40
10,2022-07,Physics,51
11,2022-09,Chemistry,90
12,2022-08,Chemistry,70
13,2021-12,English,75
14,2020-12,Accounts,47
15,2022-08,Physics,66
16,2022-02,Computers,42
17,2022-12,Accounts,66
18,2021-10,Chemistry,60
19,2020-01,Chemistry,87
20,2022-12,Accounts,51
21,2020-09,Computers,81
22,2021-11,Physics,67
23,2021-05,Maths,82
24,2020-01,Maths,81
25,2022-07,Maths,91
26,2020-10,Physics,69
27,2020-04,Maths,95
28,2021-09,Accounts,83
29,2021-12,Maths,57
30,2022-01,Maths,78
31,2021-11,Chemistry,98
32,2020-07,Maths,90
33,2020-03,Chemistry,97
34,2021-04,English,47
35,2021-08,Accounts,45
36,2020-10,Physics,93
37,2020-10,Physics,57
38,2022-05,Computers,69
39,2021-01,Maths,58
40,2022-03,English,91
41,2021-11,Accounts,64
42,2021-12,Accounts,89
43,2020-01,Physics,71
44,2022-03,English,71
45,2021-01,Physics,83
46,2021-06,Accounts,52
47,2020-12,Accounts,90
48,2021-02,Accounts,82
49,2021-02,Maths,65
50,2021-09,Maths,71
51,2022-02,Computers,72
52,2022-10,Physics,53
53,2022-08,Physics,71
54,2022-07,Physics,95
55,2021-06,Accounts,92
56,2022-07,Chemistry,61
57,2022-01,Chemistry,56
58,2020-10,Chemistry,71
59,2021-03,Computers,85
60,2021-11,Computers,80
61,2022-07,Physics,68
62,2022-12,English,59
63,2020-01,Computers,75
64,2021-02,Accounts,64
65,2021-11,Chemistry,47
66,2021-09,Computers,70
67,2021-08,Physics,56
68,2020-06,Computers,86
69,2020-08,Maths,42
70,2021-05,Accounts,46
71,2022-07,Chemistry,62
72,2021-02,Maths,80
73,2021-02,Maths,56
74,2021-07,Chemistry,68
75,2021-02,Computers,83
76,2020-07,Chemistry,94
77,2021-11,Chemistry,89
78,2020-05,Maths,46
79,2020-02,English,63
80,2020-09,English,67
81,2020-02,Computers,68
82,2021-11,Computers,67
83,2022-02,Accounts,82
84,2020-07,Chemistry,99
85,2022-12,Maths,59
86,2020-03,Accounts,94
87,2022-04,Computers,55
88,2021-09,Chemistry,40
89,2020-05,Physics,88
90,2020-07,Chemistry,80
91,2021-04,Maths,77
92,2022-01,Maths,67
93,2021-04,Physics,45
94,2022-09,Computers,69
95,2021-10,Computers,92
96,2020-01,Physics,76
97,2022-05,Chemistry,55
98,2020-04,Chemistry,92
99,2021-03,English,71
100,2020-08,Computers,48
101,2021-07,Maths,41
102,2020-10,English,95
103,2021-01,Maths,91
104,2022-01,Chemistry,70
105,2020-11,Computers,74
106,2020-04,Chemistry,99
107,2021-08,Chemistry,75
108,2022-04,English,66
109,2020-03,Chemistry,60
110,2020-10,Maths,85
111,2022-08,Physics,54
112,2022-11,Accounts,78
113,2021-08,Chemistry,72
114,2021-09,Computers,59
115,2020-04,Chemistry,96
116,2021-07,Chemistry,94
117,2020-08,Computers,74
118,2020-12,Computers,59
119,2022-10,Chemistry,98
120,2022-06,Computers,77
121,2021-01,Physics,85
122,2020-04,Maths,56
123,2022-06,Chemistry,55
124,2020-02,Chemistry,69
125,2022-10,Computers,46
126,2020-01,Computers,79
127,2020-10,English,74
128,2022-04,Chemistry,70
129,2020-08,Chemistry,62
130,2020-01,Accounts,87
131,2022-11,Maths,84
132,2021-12,Maths,61
133,2021-03,English,69
134,2020-09,Chemistry,72
135,2021-07,Physics,92
136,2022-07,Computers,73
137,2022-01,Accounts,84
138,2020-03,Maths,48
139,2022-07,Maths,44
140,2020-05,English,53
141,2022-01,Accounts,61
142,2020-04,Physics,63
143,2022-02,Maths,42
144,2021-08,Chemistry,58
145,2020-07,Accounts,88
146,2020-02,Maths,97
147,2021-02,English,40
148,2021-02,Physics,98
149,2022-06,Accounts,80
150,2021-12,Physics,80
151,2020-02,Maths,66
152,2021-06,Computers,98
153,2021-11,Accounts,65
154,2022-05,English,53
155,2022-06,English,51
156,2021-03,Computers,71
157,2020-11,English,62
158,2022-01,Accounts,60
159,2021-08,Accounts,83
160,2020-12,Computers,42
161,2021-06,Physics,67
162,2022-08,English,69
163,2022-07,Accounts,89
164,2020-10,Computers,75
165,2020-11,Accounts,58
166,2021-12,Maths,49
167,2022-08,Chemistry,98
168,2021-02,English,49
169,2022-07,Maths,60
170,2022-06,Computers,81
171,2022-02,Maths,97
172,2021-03,Maths,94
173,2022-07,Maths,71
174,2022-05,Physics,53
175,2021-01,Accounts,76
176,2022-07,Computers,71
177,2021-01,Physics,42
178,2022-05,Accounts,49
179,2020-10,English,57
180,2020-05,Physics,78
181,2022-02,Accounts,55
182,2021-08,Computers,57
183,2021-12,Maths,52
184,2020-01,Chemistry,64
185,2021-11,English,75
186,2020-12,Chemistry,75
187,2022-01,Accounts,66
188,2020-01,English,65
189,2021-01,English,83
190,2022-02,English,61
191,2022-09,English,79
192,2021-05,English,70
193,2022-10,Physics,69
194,2021-01,Chemistry,95
195,2021-02,English,83
196,2020-06,Chemistry,55
197,2021-04,Physics,78
198,2022-08,English,81
199,2022-06,Physics,81
200,2020-06,Physics,71
201,2020-04,English,66
202,2021-03,Chemistry,66
203,2022-09,English,61
204,2020-03,Chemistry,48
205,2021-03,Chemistry,84
206,2022-05,Computers,83
207,2020-06,Chemistry,47
208,2021-11,Accounts,69
209,2022-11,Maths,85
210,2021-11,Accounts,82
211,2021-12,Chemistry,50
212,2022-06,Chemistry,91
213,2022-01,Physics,94
214,2022-05,Accounts,73
215,2020-11,English,50
216,2020-09,Maths,44
217,2020-03,English,89
218,2020-05,Computers,52
219,2021-04,Physics,88
220,2022-08,Maths,67
221,2020-08,Physics,78
222,2020-06,Chemistry,86
223,2022-04,Chemistry,66
224,2020-10,Accounts,47
225,2022-10,Maths,75
226,2022-03,Computers,45
227,2021-03,Physics,43
228,2020-11,Chemistry,75
229,2020-12,Chemistry,97
230,2020-05,Chemistry,76
231,2021-04,English,74
232,2020-12,Chemistry,40
233,2022-06,Chemistry,48
234,2022-09,Physics,86
235,2021-12,Computers,71
236,2020-09,Physics,78
237,2020-11,Accounts,75
238,2022-05,Accounts,85
239,2021-07,Physics,91
240,2020-10,Maths,97
241,2021-03,Computers,99
242,2020-06,Computers,40
243,2021-05,Physics,98
244,2022-03,Accounts,46
245,2022-02,Chemistry,76
246,2021-07,Accounts,54
247,2021-04,Accounts,72
248,2021-08,Physics,71
249,2022-06,Chemistry,74
250,2020-09,Maths,75
251,2021-01,Computers,68
252,2020-09,Physics,56
253,2022-08,Maths,99
254,2021-12,Accounts,85
255,2021-09,Physics,66
256,2022-01,Accounts,78
257,2022-09,Chemistry,76
258,2021-12,Chemistry,67
259,2022-08,Maths,60
260,2022-06,Chemistry,66
261,2021-10,Computers,90
262,2021-04,English,53
263,2021-01,English,40
264,2022-12,Physics,72
265,2020-12,Physics,92
266,2021-06,English,60
267,2022-04,Chemistry,82
268,2020-04,English,86
269,2020-08,Chemistry,93
270,2021-12,Chemistry,53
271,2021-07,Physics,98
272,2022-08,Computers,57
273,2021-05,Chemistry,85
274,2021-03,Computers,61
275,2021-07,English,56
276,2021-07,Physics,94
277,2020-06,Accounts,77
278,2020-03,Accounts,43
279,2021-02,Accounts,41
280,2021-07,English,61
281,2021-07,Physics,88
282,2020-06,Maths,81
283,2021-01,English,92
284,2021-12,Maths,72
285,2021-04,Accounts,53
286,2021-02,Maths,46
287,2020-02,English,72
288,2020-07,Accounts,91
289,2021-03,Chemistry,68
290,2022-02,Accounts,98
291,2022-03,Maths,88
292,2021-11,Accounts,64
293,2022-04,Accounts,57
294,2022-10,Physics,93
295,2020-04,Physics,78
296,2020-01,Computers,52
297,2022-04,Computers,46
298,2021-10,Computers,47
299,2020-12,English,52
300,2021-10,English,45
301,2021-04,Computers,85
302,2022-01,English,97
303,2022-09,Chemistry,71
304,2022-11,Maths,80
305,2020-03,English,82
306,2021-09,Accounts,63
307,2022-06,English,92
308,2022-03,Chemistry,79
309,2021-09,Maths,44
310,2020-02,Computers,55
311,2021-08,Maths,68
312,2022-06,Chemistry,71
313,2020-11,Accounts,50
314,2020-08,Maths,71
315,2022-09,Accounts,43
316,2021-03,Computers,46
317,2022-12,Computers,88
318,2020-06,Chemistry,81
319,2020-10,Accounts,62
320,2020-02,Accounts,92
321,2020-11,English,63
322,2022-08,Accounts,48
323,2020-12,Chemistry,40
324,2020-12,Computers,57
325,2020-04,Maths,89
326,2021-04,Computers,77
327,2020-11,Maths,68
328,2020-06,Physics,83
329,2021-09,Physics,75
330,2020-10,Accounts,51
331,2021-06,English,84
332,2021-08,English,47
333,2021-09,English,80
334,2021-10,Computers,97
335,2021-12,Chemistry,47
336,2022-09,Chemistry,40
337,2021-07,Chemistry,90
338,2020-04,Physics,48
339,2022-01,Chemistry,70
340,2021-09,English,89
341,2022-01,Accounts,40
342,2020-10,English,67
343,2020-07,Accounts,40
344,2021-04,Chemistry,93
345,2020-07,English,99
346,2021-04,Accounts,86
347,2022-02,Computers,65
348,2021-12,Chemistry,99
349,2022-09,Chemistry,69
350,2021-05,Computers,57
351,2021-05,Physics,49
352,2020-01,Computers,71
353,2022-04,Physics,93
354,2020-02,Computers,82
355,2020-04,English,86
356,2022-07,Accounts,46
357,2020-01,Physics,70
358,2021-12,Accounts,89
359,2022-08,Chemistry,70
360,2020-07,English,99
361,2020-10,Computers,85
362,2020-07,Accounts,83
363,2020-09,English,40
364,2021-02,Computers,40
365,2022-03,Computers,42
366,2020-08,English,77
367,2020-01,Accounts,48
368,2022-06,Chemistry,48
369,2020-11,English,59
370,2020-06,Accounts,97
371,2020-07,English,79
372,2020-11,Chemistry,73
373,2020-12,Computers,56
374,2021-03,Chemistry,89
375,2021-12,Physics,83
376,2020-07,English,44
377,2020-04,Computers,60
378,2021-11,Maths,79
379,2022-01,Physics,87
380,2022-04,Chemistry,52
381,2021-01,Computers,50
382,2021-04,English,67
383,2022-11,English,50
384,2021-02,Accounts,47
385,2020-04,English,63
386,2021-09,Computers,87
387,2020-07,Physics,85
388,2020-01,Maths,72
389,2021-07,Accounts,44
390,2022-01,Chemistry,93
391,2021-09,Maths,47
392,2021-10,Chemistry,55
393,2021-06,Computers,51
394,2020-03,English,82
395,2020-10,Accounts,97
396,2020-08,Chemistry,79
397,2022-05,Chemistry,57
398,2021-01,Physics,69
399,2022-12,Physics,61
400,2022-04,Maths,83
401,2022-03,Chemistry,85
402,2020-05,Physics,90
403,2022-12,Physics,82
404,2021-11,Maths,81
405,2020-10,Accounts,73
406,2020-03,Computers,63
407,2020-01,Computers,97
408,2022-08,Accounts,63
409,2021-02,Computers,59
410,2022-11,Physics,61
411,2022-08,Chemistry,86
412,2022-04,English,61
413,2021-01,Computers,62
414,2021-11,Maths,86
415,2020-05,Chemistry,65
416,2022-04,Maths,59
417,2020-04,Computers,79
418,2022-12,Chemistry,82
419,2020-09,Accounts,69
420,2022-04,Maths,48
421,2021-12,Physics,89
422,2022-03,Physics,55
423,2020-08,Accounts,99
424,2020-05,Accounts,96
425,2021-09,Chemistry,50
426,2020-08,Maths,61
427,2021-11,Computers,98
428,2022-03,Maths,97
429,2020-10,Physics,94
430,2021-02,Physics,86
431,2022-05,Computers,64
432,2022-05,Accounts,57
433,2020-08,Chemistry,99
434,2020-08,Physics,76
435,2020-07,Computers,86
436,2022-03,Accounts,70
437,2021-01,English,98
438,2020-08,Computers,76
439,2020-10,Maths,70
440,2020-12,Physics,41
441,2022-04,Chemistry,78
442,2021-10,Accounts,42
443,2020-10,Computers,92
444,2021-07,Physics,95
445,2022-01,English,92
446,2020-02,Computers,47
447,2021-08,Maths,42
448,2020-09,Accounts,60
449,2022-05,Maths,76
450,2022-02,Computers,96
451,2022-12,Maths,90
452,2022-12,Physics,44
453,2022-09,Physics,51
454,2020-01,Physics,57
455,2022-09,Physics,58
456,2021-01,Physics,42
457,2020-09,Physics,62
458,2020-06,Accounts,42
459,2022-06,Physics,73
460,2020-10,Accounts,49
461,2020-12,Physics,96
462,2020-02,English,47
463,2022-06,Accounts,51
464,2020-04,Accounts,48
465,2021-03,Computers,64
466,2020-08,English,89
467,2021-04,Maths,42
468,2020-06,Physics,84
469,2021-02,English,93
470,2021-03,Computers,68
471,2022-09,English,99
472,2022-01,Physics,59
473,2021-02,Computers,79
474,2022-11,Accounts,42
475,2020-08,Physics,85
476,2020-10,Chemistry,83
477,2022-02,Accounts,90
478,2020-11,Accounts,52
479,2020-04,Chemistry,66
480,2020-02,Physics,65
481,2022-07,Maths,55
482,2022-08,Physics,86
483,2021-05,English,40
484,2022-04,Computers,67
485,2021-05,Chemistry,43
486,2021-01,Accounts,63
487,2022-12,English,70
488,2022-11,Computers,46
489,2021-03,Maths,95
490,2021-07,Computers,54
491,2021-03,English,81
492,2021-11,Maths,66
493,2022-01,Maths,67
494,2022-05,Accounts,53
495,2022-11,Chemistry,59
496,2021-02,Accounts,55
497,2021-01,Maths,93
498,2020-06,Maths,65
499,2020-06,Chemistry,62
500,2020-11,Computers,66
1,2020-04,Accounts,99
2,2021-09,Physics,99
3,2022-04,Maths,54
4,2021-11,Maths,79
5,2022-06,English,41
6,2020-08,Physics,90
7,2021-12,Accounts,75
8,2022-03,Maths,87
9,2021-07,Maths,40
10,2021-12,Maths,51
11,2020-05,Physics,73
12,2021-12,Accounts,46
13,2020-02,Accounts,90
14,2022-01,Maths,40
15,2020-04,Accounts,47
16,2021-09,Computers,89
17,2020-08,Physics,74
18,2021-12,Maths,64
19,2022-09,Computers,78
20,2021-12,Chemistry,43
21,2021-05,Chemistry,72
22,2021-07,Chemistry,51
23,2021-11,Chemistry,77
24,2021-05,Computers,42
25,2022-10,English,69
26,2021-07,Chemistry,54
27,2021-03,Chemistry,69
28,2021-09,Physics,84
29,2020-02,Accounts,74
30,2022-12,Maths,91
31,2021-03,Computers,68
32,2022-03,Chemistry,44
33,2020-10,Accounts,67
34,2022-11,Accounts,87
35,2022-02,Maths,96
36,2022-01,Accounts,92
37,2022-04,Chemistry,92
38,2021-05,Physics,60
39,2022-07,English,56
40,2020-05,English,90
41,2021-08,Computers,79
42,2022-09,Computers,64
43,2022-04,Maths,60
44,2020-12,Chemistry,96
45,2020-07,English,97
46,2021-10,Accounts,66
47,2021-04,Accounts,54
48,2020-06,Maths,71
49,2020-09,English,91
50,2020-05,Physics,75
51,2022-03,Computers,83
52,2020-06,Chemistry,70
53,2022-01,Accounts,88
54,2021-11,Chemistry,44
55,2021-09,Physics,48
56,2022-01,Computers,60
57,2021-05,Maths,49
58,2020-04,Chemistry,83
59,2022-07,Chemistry,88
